#GAUSS
500|7.519905547956708e-12
1000|5.102831023049681e-12
1500|5.531233034430764e-12
2000|5.691917566220616e-12
2500|4.509186117943788e-12
3000|9.56337907059909e-12
3500|1.514082803748372e-11
4000|5.864455400605417e-12
4500|2.3102903709265365e-11
5000|1.124776350334295e-11
5500|1.3619727839576219e-11
6000|1.280748479691691e-11
6500|5.643234660145475e-12
7000|9.539848106271189e-12
7500|1.300475879212031e-11
8000|1.0358365098485935e-11
8500|6.740624684825132e-12
9000|1.2603128340689342e-11
9500|8.135432158244577e-12
10000|2.075185949604304e-11


#GAUSS_PIVOT
500|2.431350940540195e-14
1000|2.4227742585987124e-14
1500|2.4343994109102793e-14
2000|2.4255244294382654e-14
2500|2.4261595228140315e-14
3000|2.4258820510565097e-14
3500|2.4286567323403092e-14
4000|2.4282144028194666e-14
4500|2.428103186679438e-14
5000|2.4311855912494525e-14
5500|2.4257817613628857e-14
6000|2.4311530714929194e-14
6500|2.427313474488458e-14
7000|2.431268105453107e-14
7500|2.4272882016253695e-14
8000|2.4312928281961764e-14
8500|2.4294690522385277e-14
9000|2.4326072767802275e-14
9500|2.427317722033367e-14
10000|2.4283932938559528e-14


#LU
500|3.668361347930207e-12
1000|3.07038002471574e-12
1500|1.2383750303187617e-9
2000|1.3140279023215225e-11
2500|4.401004310078157e-12
3000|4.133993140569687e-12
3500|8.362944081899168e-12
4000|7.261510565804602e-12
4500|5.059903139161565e-12
5000|8.399250809797068e-12
5500|5.4469485545923184e-11
6000|3.259579863120068e-11
6500|9.423252108130623e-12
7000|1.531314295453336e-11
7500|9.000954874339882e-12
8000|7.439972466564921e-12
8500|9.20964729557508e-12
9000|1.941500559400545e-11
9500|8.475395340154223e-12
10000|3.233015073933169e-11

#LU_PIVOT
500|2.446374046453012e-14
1000|2.4162955856949414e-14
1500|2.4262262145364398e-14
2000|2.4323244520069714e-14
2500|2.429904538220423e-14
3000|2.4324047117506715e-14
3500|2.4270291280823812e-14
4000|2.430148820727866e-14
4500|2.4305151766402696e-14
5000|2.4312065855732856e-14
5500|2.4297998804045675e-14
6000|2.4262018488357787e-14
6500|2.4309408030773478e-14
7000|2.430126970712861e-14
7500|2.429178136161587e-14
8000|2.4289307820307083e-14
8500|2.429055528526952e-14
9000|2.4315641792589847e-14
9500|2.429971284312393e-14
10000|2.4279345192470057e-14
